City,Country,Category,Category 2,CO2,Flight time (min),Budget,Month,Average Temp,Rain probability
Faro,PT,Beach,Party,0.66,170,Low,Dec,13.4,0.266666667
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Jan,4.6,0.333333333
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Feb,5.2,0.3
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Mar,8.3,0.333333333
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Apr,11.3,0.3
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,May,14.9,0.333333333
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Jun,18.2,0.3
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Jul,20.5,0.266666667
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Aug,20.2,0.233333333
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Sep,16.5,0.266666667
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Oct,12.4,0.3
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Nov,7.9,0.333333333
Paris,FR,Sightseeing,Sightseeing,0.29,85,Medium,Dec,5.2,0.366666667
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Jan,3.7,0.4
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Feb,4,0.333333333
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Mar,6.4,0.333333333
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Apr,9.7,0.3
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,May,13.2,0.3
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Jun,15.8,0.333333333
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Jul,18,0.366666667
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Aug,17.8,0.4
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Sep,15.1,0.366666667
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Oct,11.2,0.4
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Nov,7.2,0.433333333
Amsterdam,NL,Sightseeing,Party,0.32,100,Low,Dec,4.4,0.466666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Jan,5.6,0.4
London,UK,Sightseeing,Sightseeing,0.37,110,High,Feb,5.9,0.333333333
London,UK,Sightseeing,Sightseeing,0.37,110,High,Mar,8,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Apr,10.6,0.3
London,UK,Sightseeing,Sightseeing,0.37,110,High,May,13.8,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Jun,16.8,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Jul,19,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Aug,18.7,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Sep,15.9,0.266666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Oct,12.2,0.366666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Nov,8.4,0.366666667
London,UK,Sightseeing,Sightseeing,0.37,110,High,Dec,6,0.366666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Jan,-2.3,0.333333333
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Feb,-1.8,0.266666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Mar,1.6,0.233333333
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Apr,6.5,0.266666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,May,11.7,0.3
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Jun,15.6,0.333333333
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Jul,18,0.366666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Aug,16.9,0.366666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Sep,12.5,0.3
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Oct,6.7,0.333333333
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Nov,2.2,0.366666667
Oslo,NO,Outdoor,Sightseeing,0.54,135,High,Dec,-1.4,0.333333333
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Jan,0.6,0.5
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Feb,0.5,0.5
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Mar,1.2,0.466666667
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Apr,3.9,0.366666667
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,May,6.9,0.333333333
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Jun,10.1,0.3
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Jul,12,0.333333333
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Aug,11.4,0.4
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Sep,8.8,0.5
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Oct,5,0.433333333
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Nov,2.2,0.466666667
Reykjavik,ISL,Outdoor,Outdoor,0.929,225,High,Dec,0.8,0.5
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Jan,4,0.4
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Feb,4.3,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Mar,5.6,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Apr,7.6,0.3
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,May,10.3,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Jun,13.1,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Jul,14.8,0.366666667
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Aug,14.7,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Sep,12.6,0.333333333
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Oct,9.4,0.4
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Nov,6.2,0.4
Edinburgh,UK,Outdoor,Sightseeing,0.493,135,Medium,Dec,3.9,0.4
Prag,CZ,Party,Sightseeing,0.3,80,Low,Jan,-1,0.233333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,Feb,0.3,0.2
Prag,CZ,Party,Sightseeing,0.3,80,Low,Mar,4.1,0.2
Prag,CZ,Party,Sightseeing,0.3,80,Low,Apr,8.9,0.233333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,May,13.1,0.333333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,Jun,16.5,0.333333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,Jul,18.7,0.3
Prag,CZ,Party,Sightseeing,0.3,80,Low,Aug,18.5,0.3
Prag,CZ,Party,Sightseeing,0.3,80,Low,Sep,12.9,0.233333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,Oct,8.8,0.2
Prag,CZ,Party,Sightseeing,0.3,80,Low,Nov,3.7,0.233333333
Prag,CZ,Party,Sightseeing,0.3,80,Low,Dec,0.2,0.233333333
Rimini,IT,Party,Beach,0.29,70,Medium,Jan,4.7,0.2
Rimini,IT,Party,Beach,0.29,70,Medium,Feb,5.6,0.2
Rimini,IT,Party,Beach,0.29,70,Medium,Mar,8.9,0.2
Rimini,IT,Party,Beach,0.29,70,Medium,Apr,12.4,0.233333333
Rimini,IT,Party,Beach,0.29,70,Medium,May,17.2,0.233333333
Rimini,IT,Party,Beach,0.29,70,Medium,Jun,21.6,0.2
Rimini,IT,Party,Beach,0.29,70,Medium,Jul,24.2,0.133333333
Rimini,IT,Party,Beach,0.29,70,Medium,Aug,24.1,0.2
Rimini,IT,Party,Beach,0.29,70,Medium,Sep,19.9,0.233333333
Rimini,IT,Party,Beach,0.29,70,Medium,Oct,15.5,0.266666667
Rimini,IT,Party,Beach,0.29,70,Medium,Nov,10.5,0.233333333
Rimini,IT,Party,Beach,0.29,70,Medium,Dec,5.6,0.233333333
Ibiza,SP,Party,Beach,0.46,125,High,Jan,11.8,0.2
Ibiza,SP,Party,Beach,0.46,125,High,Feb,11.9,0.166666667
Ibiza,SP,Party,Beach,0.46,125,High,Mar,13.6,0.2
Ibiza,SP,Party,Beach,0.46,125,High,Apr,15.8,0.2
Ibiza,SP,Party,Beach,0.46,125,High,May,18.8,0.166666667
Ibiza,SP,Party,Beach,0.46,125,High,Jun,22.8,0.1
Ibiza,SP,Party,Beach,0.46,125,High,Jul,25.6,0.033333333
Ibiza,SP,Party,Beach,0.46,125,High,Aug,26.4,0.1
Ibiza,SP,Party,Beach,0.46,125,High,Sep,23.7,0.133333333
Ibiza,SP,Party,Beach,0.46,125,High,Oct,20.2,0.166666667
Ibiza,SP,Party,Beach,0.46,125,High,Nov,15.8,0.2
Ibiza,SP,Party,Beach,0.46,125,High,Dec,12.9,0.2
Crete,GR,Beach,Beach,0.704,180,Medium,Jan,12.4,0.333333333
Crete,GR,Beach,Beach,0.704,180,Medium,Feb,12.4,0.266666667
Crete,GR,Beach,Beach,0.704,180,Medium,Mar,13.8,0.2
Crete,GR,Beach,Beach,0.704,180,Medium,Apr,16.3,0.1
Crete,GR,Beach,Beach,0.704,180,Medium,May,19.8,0.066666667
Crete,GR,Beach,Beach,0.704,180,Medium,Jun,23.6,0
Crete,GR,Beach,Beach,0.704,180,Medium,Jul,26,0
Crete,GR,Beach,Beach,0.704,180,Medium,Aug,26.2,0
Crete,GR,Beach,Beach,0.704,180,Medium,Sep,23.8,0.066666667
Crete,GR,Beach,Beach,0.704,180,Medium,Oct,20.8,0.133333333
Crete,GR,Beach,Beach,0.704,180,Medium,Nov,17.3,0.2
Crete,GR,Beach,Beach,0.704,180,Medium,Dec,14.1,0.333333333
Split,HR,Beach,Party,0.36,100,Low,Jan,8.3,0.266666667
Split,HR,Beach,Party,0.36,100,Low,Feb,8.6,0.266666667
Split,HR,Beach,Party,0.36,100,Low,Mar,11.4,0.233333333
Split,HR,Beach,Party,0.36,100,Low,Apr,15,0.266666667
Split,HR,Beach,Party,0.36,100,Low,May,19.9,0.2
Split,HR,Beach,Party,0.36,100,Low,Jun,24.1,0.166666667
Split,HR,Beach,Party,0.36,100,Low,Jul,16.9,0.1
Split,HR,Beach,Party,0.36,100,Low,Aug,26.9,0.1
Split,HR,Beach,Party,0.36,100,Low,Sep,21.8,0.2
Split,HR,Beach,Party,0.36,100,Low,Oct,17.6,0.233333333
Split,HR,Beach,Party,0.36,100,Low,Nov,13.1,0.333333333
Split,HR,Beach,Party,0.36,100,Low,Dec,8.4,0.3
Budapest,HU,Party,Sightseeing,0.38,100,Low,Jan,-0.6,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Feb,1.2,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Mar,5.6,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Apr,11.1,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,May,15.7,0.266666667
Budapest,HU,Party,Sightseeing,0.38,100,Low,Jun,19.5,0.233333333
Budapest,HU,Party,Sightseeing,0.38,100,Low,Jul,21.4,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Aug,21.3,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Sep,16.2,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Oct,10.7,0.2
Budapest,HU,Party,Sightseeing,0.38,100,Low,Nov,5.4,0.233333333
Budapest,HU,Party,Sightseeing,0.38,100,Low,Dec,0.3,0.233333333
Krakow,PL,Party,Sightseeing,0.39,100,Low,Jan,-1.6,0.3
Krakow,PL,Party,Sightseeing,0.39,100,Low,Feb,0,0.266666667
Krakow,PL,Party,Sightseeing,0.39,100,Low,Mar,3.8,0.3
Krakow,PL,Party,Sightseeing,0.39,100,Low,Apr,9.4,0.266666667
Krakow,PL,Party,Sightseeing,0.39,100,Low,May,14.2,0.333333333
Krakow,PL,Party,Sightseeing,0.39,100,Low,Jun,17.7,0.3
Krakow,PL,Party,Sightseeing,0.39,100,Low,Jul,19.6,0.366666667
Krakow,PL,Party,Sightseeing,0.39,100,Low,Aug,19.2,0.266666667
Krakow,PL,Party,Sightseeing,0.39,100,Low,Sep,14.4,0.3
Krakow,PL,Party,Sightseeing,0.39,100,Low,Oct,9.4,0.266666667
Krakow,PL,Party,Sightseeing,0.39,100,Low,Nov,4.1,0.3
Krakow,PL,Party,Sightseeing,0.39,100,Low,Dec,-0.3,0.266666667
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Jan,-1.8,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Feb,-0.2,0.266666667
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Mar,3.9,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Apr,7.4,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,May,11.8,0.466666667
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Jun,15.1,0.433333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Jul,16.8,0.4
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Aug,16.4,0.4
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Sep,12.8,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Oct,9,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Nov,3.4,0.333333333
Chamonix,FR,Outdoor,Sightseeing,0.22,120,Medium,Dec,-1.1,0.366666667
Tirana,AL,Outdoor,Beach,0.46,120,Low,Jan,7.1,0.333333333
Tirana,AL,Outdoor,Beach,0.46,120,Low,Feb,8.3,0.333333333
Tirana,AL,Outdoor,Beach,0.46,120,Low,Mar,11.3,0.366666667
Tirana,AL,Outdoor,Beach,0.46,120,Low,Apr,14.6,0.333333333
Tirana,AL,Outdoor,Beach,0.46,120,Low,May,18.7,0.3
Tirana,AL,Outdoor,Beach,0.46,120,Low,Jun,23,0.166666667
Tirana,AL,Outdoor,Beach,0.46,120,Low,Jul,25.3,0.133333333
Tirana,AL,Outdoor,Beach,0.46,120,Low,Aug,25.5,0.1
Tirana,AL,Outdoor,Beach,0.46,120,Low,Sep,21.6,0.166666667
Tirana,AL,Outdoor,Beach,0.46,120,Low,Oct,17.1,0.233333333
Tirana,AL,Outdoor,Beach,0.46,120,Low,Nov,12.6,0.4
Tirana,AL,Outdoor,Beach,0.46,120,Low,Dec,8.6,0.4
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Jan,11.8,0.333333333
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Feb,12.7,0.266666667
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Mar,14.8,0.266666667
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Apr,16.2,0.266666667
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,May,18.5,0.166666667
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Jun,21.3,0.066666667
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Jul,23.1,0.033333333
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Aug,23.6,0.033333333
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Sep,22,0.133333333
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Oct,19,0.3
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Nov,14.9,0.333333333
Lisbon,PT,Sightseeing,Beach,0.64,170,Medium,Dec,12.4,0.333333333
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Jan,7.7,0.233333333
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Feb,8.4,0.266666667
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Mar,10.9,0.233333333
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Apr,13.8,0.3
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,May,17.9,0.2
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Jun,22.4,0.133333333
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Jul,25.2,0.066666667
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Aug,25.6,0.1
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Sep,21.3,0.2
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Oct,17.3,0.266666667
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Nov,12.7,0.333333333
Rome,IT,Sightseeing,Sightseeing,0.35,90,Medium,Dec,8.7,0.3
